epoch,train_loss,val_loss,precision,recall,mAP50,mAP50-95,f1_score,rmse_area
1,5.5837,13.2817,0.5591,0.4282,0.4140,0.1852,0.4849,0.0000
2,5.0862,22.2762,0.5637,0.4537,0.4280,0.2086,0.5028,0.0000
3,5.2039,25.1471,0.2826,0.3283,0.1646,0.0523,0.3037,0.0000
4,5.2441,13.0708,0.5422,0.3644,0.3626,0.1203,0.4359,0.0000
5,4.7799,6.5231,0.6207,0.4377,0.4510,0.1627,0.5134,0.0000
6,4.8948,6.7439,0.5889,0.4048,0.4419,0.1892,0.4798,0.0000
7,4.6590,4.7472,0.7813,0.5519,0.6119,0.3237,0.6468,0.0000
8,4.4676,4.8932,0.6540,0.5252,0.5173,0.2554,0.5826,0.0000
9,4.4733,7.3059,0.7798,0.5433,0.6088,0.2532,0.6404,0.0000
10,4.4124,4.8805,0.7919,0.5690,0.6428,0.2898,0.6622,0.0000
11,4.4426,5.0254,0.7736,0.5433,0.6155,0.2644,0.6383,0.0000
12,4.3383,4.5194,0.6128,0.6067,0.6002,0.3540,0.6097,0.0000
13,4.1212,4.1863,0.7868,0.5758,0.6572,0.3821,0.6649,0.0000
14,4.2765,4.7369,0.7825,0.6299,0.7004,0.3863,0.6979,0.0000
15,4.2245,4.1159,0.8130,0.6782,0.7466,0.4290,0.7395,0.0000
16,4.1462,4.2706,0.7553,0.6344,0.7040,0.3554,0.6896,0.0000
17,4.0489,4.2064,0.8184,0.6499,0.7175,0.4116,0.7245,0.0000
18,4.0895,4.4193,0.7918,0.6223,0.6644,0.3817,0.6969,0.0000
19,3.9337,4.0535,0.8059,0.6118,0.7107,0.4107,0.6956,0.0000
20,4.0863,4.5805,0.8330,0.6232,0.6898,0.3621,0.7130,0.0000
21,4.0461,3.7730,0.8246,0.6698,0.7388,0.4758,0.7392,0.0000
22,3.9699,4.2802,0.8344,0.6537,0.7386,0.3600,0.7331,0.0000
23,3.9416,4.1970,0.8520,0.6318,0.7445,0.4068,0.7256,0.0000
24,3.8995,4.0042,0.8511,0.7016,0.7661,0.4248,0.7691,0.0000
